180,181,183,184,185,186,187,188,189,190,191,193,194,195,196,197,198,199,200
998.01,963,1209.76,1396.49,379.8,280.02,309.06,309.27,399.73,731.63,758.26,964.07,314.62,652.36,758.44,696.55,713.5,720.62,769.99
971.56,525.49,541.38,837,559.76,523.91,575.13,470.07,525.24,953.41,382.82,833.89,462.53,432.32,423.34,394.69,419.48,407.55,612.77
787.35,324.88,228.61,611.98,836.33,853.52,896.13,901.64,950.46,964.1,446.72,927.34,1186.09,820.89,677.08,530.77,303.03,272.3,858.56
476.83,187.86,296.32,957.14,794.03,677.26,677.12,590.78,652.37,835.54,288.59,796.42,524.2,359.09,359.98,293.31,320.31,314.23,592.21
373.29,191.11,255.24,815.34,736.99,664.3,693.94,608.29,676.74,712.71,236.02,657.74,430.98,291.58,341.96,299.96,328.49,374.51,556.94
256.49,114.07,100.59,269.66,564.15,495.46,508.6,477.18,510.18,525.33,254.3,584.81,555.21,269.46,247.21,195.73,179.46,191.89,405.98
246.16,70.75,108.94,228.28,325.06,338.79,352.77,486.06,495.91,448.89,312.7,494.87,612.41,399.6,335.92,246.43,167.64,163.91,402.1
174.15,232.22375,73.93,201.91,285.0077778,274.75,283.02,279.99,318.09,346.17,222.28,398.8,477.38,311.08,310.75,291.54,224.38,221.3,523.63
170.52,161.671,54.41,60.29,137.6,131.68,174.19,133.44,226.45,208.28,235.4,316.71,513.5,467.88,455.37,325.89,181.68,147.6,294.11
339.47,242.03,110.98,147.43,197.07,283.36,318.38,294.11,321.87,263.87,307.54,315.68,353.797,354.97,374.98,317.22,182.81,137.34,291.74
510.5,240.685,212.88,260.84,335.495,346.14,290.97,322.55,324.54,383.47,387.6,342.25,449.68,513.07,479.34,422.19,304.94,257.15,217.56
231.52,45,57.92,130.61,331.69,213.4,264.68,234.92,267.64,255.66,245.6988889,269.99,246.7088889,338.27,282.45,166.58,71.93,78.72,189.68
272.63,358.49,283.6,365.05,268.31,358.22,279.88,321.96,201.88,211.21,404.3,266.45,372.728,516.31,426.58,390.52,399.01,347.75,292.74
238.56,254.41,330.36,311.06,172.39,347.53,433.18,330.66,263.51,210.34,379.71,331.62,560.27,465.96,428.09,413.06,343.63,334.47,270.16
503.08,669.43,798.94,562.03,453.94,665.17,805.09,653.57,561.36,514.09,704.06,573.5,1009.66,854.29,763.2,707.45,606.18,576.88,485.21
285.48,248.46375,244.44,173.15,337.0266667,296.31,381.88,399.07,392.29,303.19,291.68,370.89,398.663,515.79,464.52,414.49,485.08,376.41,270.58
408.28,418.11,399.16,253.09,269.64,269.83,278.13,287.95,305.74,310.75,307.44,277.69,343.83,319.21,430.02,318.93,246.72,264.52,244.11
495.61,413.92,317.52,210.29,317.38,477.39,503.77,447.3,413.01,413.47,501.96,408.67,371.22,355.67,402.68,577.92,358.9,292.25,356.64
494.92,592.85,350.67,257.32,306.04,293.58,452.23,364.65,468.67,527.99,540.91,261.47,438.32,283.55,496.59,531.53,424.86,381.16,392.64
368.9385714,336.17,390.4733333,323.73,376.28,377.92,492.79,524.5,362.36,412.6214286,437.4385714,385.82,433.7044444,421.8,479,368.68,519.91,444.07,519.22
627.55,501.59,638.91,655.96,453.88,291.14,592.82,484.25,713.15,532.82,713.24,498.89,529.17,467.77,543.29,467.47,512.14,533.49,418.26
566.93,605.1825,575.53,576.61,529.1711111,576,529.53,531.61,549.43,447.58,520.19,337.46,513.64,316.69,419.85,389.72,322.44,455.44,500.16
694.16,865.14,702.9,620.2,407.27,555.86,634.78,587.68,621.51,638.12,705.54,646.56,791.23,543.36,726.43,572.83,647.48,518.65,542.09
963.54,1079.52,1005.04,908.64,751.91,738.48,855.57,863.79,993.47,688.95,821.16,739.06,680.48,795.39,801.95,923.8,658.45,666.51,795.3
979.4,1210.06,931.23,1032.71,952.95,966.2,949.91,1001.82,858.04,814.19,729.54,514.79,812.442,694.67,773.23,836.72,806.5,820.46,962.46
868.95,925.19,790.83,684.74,619.16,593.44,602.01,657.59,554.39,469.64,666.98,568.94,747.555,778.32,718.37,659.89,864.65,919.6,1033.04
616.49,913.37,688.94,581.95,539.47,566.35,595.15,654.66,419.62,412.31,580.44,477.54,528.41,623.18,565.38,795.58,932.06,929.43,710.93
624.02,810.51,853.47,436.88,448.21,530.33,630.43,607.97,552.61,479.73,731.31,593.22,711.35,703.1,672.03,499.76,627.61,617.09,534.52
828.02,1058.3,861.05,618.47,601.03,635.33,861.12,836.15,661.06,533.14,594.9,529.63,554.89,701.69,619.29,675.06,703.61,882.17,731.65
784.31,817.63,551.59,482.96,542.96,500.08,633.86,614.43,563.8,531.44,629.73,664.17,732.95,687.25,654.35,608.89,705.28,681.22,504.55
658.79,1042.98,657.4,528.87,506.76,400.16,575.99,410.6,551.03,579.13,550.96,414.86,596.67,612.87,624.13,602.95,698.64,838.88,866.17
487.9233333,780.71,586.44,565.56,590.03,416.79,423.08,423.42,258.73,269.08,338.66,308.86,412.6,340.59,361.64,302.44,247.41,463.42,424.78
461.56,545.73,443.181,356.63,429.62,391.3,443.2,499.9,436.94,411.65,297.11,214.4,370.73,279.82,290.68,428.79,449.66,498.5,487.17
413.16,615.71,459.691,467.74,425.46,383.21,369.8,438.09,331.22,318.31,284.09,346.69,317.99,161.85,391.2,427.46,500.05,435.43,406.44
